run_date,name,state,projected_winner,win_prob,rating,alp_proj_vote_share,lib_proj_vote_share,nat_proj_vote_share,grn_proj_vote_share,teal_proj_vote_share,onp_proj_vote_share,oth_proj_vote_share,alp_win_pct,lib_win_pct,nat_win_pct,grn_win_pct,teal_win_pct,onp_win_pct,oth_win_pct
2025-05-04,Kooyong,VIC,teal,0.5,Toss-up,0.1035932266115588,0.4204380722016418,0.0,0.0722096283485551,0.3482032054088636,0.009436690302135627,0.04611917712724498,0.01041666666666689,0.4479166666666762,0.01041666666666689,0.01041666666666689,0.5,0.01041666666666689,0.01041666666666689
2025-05-05,Kooyong,VIC,teal,0.5,Toss-up,0.1035932266912001,0.4204380721999652,0.0,0.07220962835000513,0.3482032053303014,0.009436690302050774,0.04611917712647735,0.01086956521739114,0.4456521739130369,0.01086956521739114,0.01086956521739114,0.5,0.01086956521739114,0.01086956521739114
2025-05-06,Kooyong,VIC,teal,0.5,Toss-up,0.1035932267716381,0.4204380721982716,0.0,0.0722096283514697,0.3482032052509535,0.009436690301965072,0.04611917712570199,0.008928571428571265,0.4553571428571346,0.008928571428571265,0.008928571428571265,0.5,0.008928571428571265,0.008928571428571265
2025-05-07,Kooyong,VIC,teal,0.5,Toss-up,0.1035932268528803,0.4204380721965617,0.0,0.07220962835294892,0.3482032051708118,0.009436690301878492,0.04611917712491889,0.008333333333333358,0.4583333333333346,0.008333333333333358,0.008333333333333358,0.5,0.008333333333333358,0.008333333333333358
2025-05-08,Kooyong,VIC,teal,0.5,Toss-up,0.1035932269349349,0.4204380721948345,0.0,0.07220962835444289,0.3482032050898686,0.009436690301791058,0.04611917712412795,0.011904761904762,0.4404761904761941,0.011904761904762,0.011904761904762,0.5,0.011904761904762,0.011904761904762
2025-05-09,Kooyong,VIC,teal,0.5,Toss-up,0.1035932270178103,0.4204380721930898,0.0,0.07220962835595192,0.3482032050081162,0.00943669030170276,0.04611917712332916,0.01041666666666689,0.4479166666666762,0.01041666666666689,0.01041666666666689,0.5,0.01041666666666689,0.01041666666666689
2025-05-10,Kooyong,VIC,teal,0.5,Toss-up,0.1035932271015141,0.4204380721913279,0.0,0.07220962835747584,0.3482032049255464,0.009436690301613563,0.04611917712252226,0.0100000000000001,0.4500000000000047,0.0100000000000001,0.0100000000000001,0.5,0.0100000000000001,0.0100000000000001
2025-05-11,Kooyong,VIC,teal,0.5,Toss-up,0.1035932271860552,0.420438072189548,0.0,0.07220962835901512,0.3482032048421508,0.00943669030152349,0.04611917712170738,0.01250000000000027,0.4375000000000094,0.01250000000000027,0.01250000000000027,0.5,0.01250000000000027,0.01250000000000027
2025-05-12,Kooyong,VIC,teal,0.5,Toss-up,0.1035932272714416,0.4204380721877505,0.0,0.07220962836056977,0.3482032047579213,0.009436690301432503,0.04611917712088438,0.01136363636363632,0.4431818181818165,0.01136363636363632,0.01136363636363632,0.5,0.01136363636363632,0.01136363636363632
2025-05-13,Kooyong,VIC,teal,0.5,Toss-up,0.1035932273576818,0.4204380721859353,0.0,0.07220962836213987,0.3482032046728494,0.009436690301340615,0.04611917712005309,0.01136363636363632,0.4431818181818165,0.01136363636363632,0.01136363636363632,0.5,0.01136363636363632,0.01136363636363632
