run_date,name,state,projected_winner,win_prob,rating,alp_proj_vote_share,lib_proj_vote_share,nat_proj_vote_share,grn_proj_vote_share,teal_proj_vote_share,onp_proj_vote_share,oth_proj_vote_share,alp_win_pct,lib_win_pct,nat_win_pct,grn_win_pct,teal_win_pct,onp_win_pct,oth_win_pct
2025-05-04,Scullin,VIC,alp,0.9599229677317044,Safe Labor,0.4186549595540632,0.193825257735945,0.0,0.09120567465824324,0.0,0.06138126947469933,0.2349328385770494,0.9599229677317044,0.006679505378050032,0.006679505378050032,0.006679505378050032,0.006679505378050032,0.006679505378050032,0.006679505378050032
2025-05-05,Scullin,VIC,alp,0.9599229679513964,Safe Labor,0.4186549597425983,0.1938252576734477,0.0,0.09120567463102999,0.0,0.06138126945460031,0.2349328384983237,0.9599229679513964,0.006679505341434692,0.006679505341434692,0.006679505341434692,0.006679505341434692,0.006679505341434692,0.006679505341434692
2025-05-06,Scullin,VIC,alp,0.9599229681732864,Safe Labor,0.4186549599330197,0.1938252576103252,0.0,0.0912056746035445,0.0,0.06138126943430027,0.2349328384188105,0.9599229681732864,0.006679505304453033,0.006679505304453033,0.006679505304453033,0.006679505304453033,0.006679505304453033,0.006679505304453033
2025-05-07,Scullin,VIC,alp,0.9599229683973947,Safe Labor,0.4186549601253445,0.1938252575465718,0.0,0.09120567457578421,0.0,0.06138126941379711,0.2349328383385023,0.9599229683973947,0.00667950526710165,0.00667950526710165,0.00667950526710165,0.00667950526710165,0.00667950526710165,0.00667950526710165
2025-05-08,Scullin,VIC,alp,0.9599229686237439,Safe Labor,0.4186549603195927,0.1938252574821808,0.0,0.09120567454774639,0.0,0.06138126939308897,0.2349328382573911,0.9599229686237439,0.006679505229376772,0.006679505229376772,0.006679505229376772,0.006679505229376772,0.006679505229376772,0.006679505229376772
2025-05-09,Scullin,VIC,alp,0.959922968852357,Safe Labor,0.4186549605157836,0.1938252574171458,0.0,0.09120567451942814,0.0,0.06138126937217381,0.2349328381754687,0.959922968852357,0.006679505191274603,0.006679505191274603,0.006679505191274603,0.006679505191274603,0.006679505191274603,0.006679505191274603
2025-05-10,Scullin,VIC,alp,0.9599229690832563,Safe Labor,0.4186549607139363,0.1938252573514608,0.0,0.09120567449082664,0.0,0.06138126935104944,0.2349328380927269,0.9599229690832563,0.006679505152791386,0.006679505152791386,0.006679505152791386,0.006679505152791386,0.006679505152791386,0.006679505152791386
2025-05-11,Scullin,VIC,alp,0.9599229693164643,Safe Labor,0.4186549609140706,0.1938252572851184,0.0,0.09120567446193925,0.0,0.06138126932971389,0.2349328380091579,0.9599229693164643,0.006679505113923385,0.006679505113923385,0.006679505113923385,0.006679505113923385,0.006679505113923385,0.006679505113923385
2025-05-12,Scullin,VIC,alp,0.9599229695520041,Safe Labor,0.4186549611162059,0.1938252572181129,0.0,0.09120567443276285,0.0,0.06138126930816497,0.2349328379247534,0.9599229695520041,0.00667950507466675,0.00667950507466675,0.00667950507466675,0.00667950507466675,0.00667950507466675,0.00667950507466675
2025-05-13,Scullin,VIC,alp,0.9599229697898997,Safe Labor,0.4186549613203629,0.1938252571504373,0.0,0.09120567440329468,0.0,0.06138126928640057,0.2349328378395046,0.9599229697898997,0.006679505035017485,0.006679505035017485,0.006679505035017485,0.006679505035017485,0.006679505035017485,0.006679505035017485
