run_date,name,state,projected_winner,win_prob,rating,alp_proj_vote_share,lib_proj_vote_share,nat_proj_vote_share,grn_proj_vote_share,teal_proj_vote_share,onp_proj_vote_share,oth_proj_vote_share,alp_win_pct,lib_win_pct,nat_win_pct,grn_win_pct,teal_win_pct,onp_win_pct,oth_win_pct
2025-05-04,Brand,WA,alp,0.9921240619254623,Safe Labor,0.4482659699653698,0.1947399163936359,0.0,0.1228637187755327,0.0,0.1052618418340219,0.1288685530314398,0.9921240619254623,0.00131265634575643,0.00131265634575643,0.00131265634575643,0.00131265634575643,0.00131265634575643,0.00131265634575643
2025-05-05,Brand,WA,alp,0.9921240619786674,Safe Labor,0.4482659701561376,0.1947399163260203,0.0,0.1228637187358305,0.0,0.1052618417969472,0.1288685529850644,0.9921240619786674,0.001312656336888912,0.001312656336888912,0.001312656336888912,0.001312656336888912,0.001312656336888912,0.001312656336888912
2025-05-06,Brand,WA,alp,0.9921240620324046,Safe Labor,0.4482659703488134,0.1947399162577286,0.0,0.1228637186957312,0.0,0.1052618417595018,0.1288685529382251,0.9921240620324046,0.001312656327932724,0.001312656327932724,0.001312656327932724,0.001312656327932724,0.001312656327932724,0.001312656327932724
2025-05-07,Brand,WA,alp,0.992124062086679,Safe Labor,0.4482659705434158,0.1947399161887541,0.0,0.1228637186552309,0.0,0.1052618417216818,0.1288685528909173,0.992124062086679,0.001312656318886979,0.001312656318886979,0.001312656318886979,0.001312656318886979,0.001312656318886979,0.001312656318886979
2025-05-08,Brand,WA,alp,0.9921240621414961,Safe Labor,0.4482659707399639,0.19473991611909,0.0,0.1228637186143258,0.0,0.1052618416834836,0.1288685528431367,0.9921240621414961,0.001312656309750805,0.001312656309750805,0.001312656309750805,0.001312656309750805,0.001312656309750805,0.001312656309750805
2025-05-09,Brand,WA,alp,0.9921240621968616,Safe Labor,0.448265970938478,0.1947399160487288,0.0,0.1228637185730115,0.0,0.1052618416449036,0.1288685527948781,0.9921240621968616,0.001312656300523224,0.001312656300523224,0.001312656300523224,0.001312656300523224,0.001312656300523224,0.001312656300523224
2025-05-10,Brand,WA,alp,0.9921240622527805,Safe Labor,0.448265971138977,0.1947399159776645,0.0,0.122863718531284,0.0,0.1052618416059376,0.1288685527461369,0.9921240622527805,0.001312656291203401,0.001312656291203401,0.001312656291203401,0.001312656291203401,0.001312656291203401,0.001312656291203401
2025-05-11,Brand,WA,alp,0.9921240623092588,Safe Labor,0.4482659713414809,0.1947399159058892,0.0,0.1228637184891394,0.0,0.1052618415665822,0.1288685526969083,0.9921240623092588,0.001312656281790356,0.001312656281790356,0.001312656281790356,0.001312656281790356,0.001312656281790356,0.001312656281790356
2025-05-12,Brand,WA,alp,0.9921240623663017,Safe Labor,0.4482659715460099,0.1947399158333962,0.0,0.1228637184465731,0.0,0.105261841526833,0.1288685526471878,0.9921240623663017,0.001312656272283202,0.001312656272283202,0.001312656272283202,0.001312656272283202,0.001312656272283202,0.001312656272283202
2025-05-13,Brand,WA,alp,0.992124062423915,Safe Labor,0.4482659717525842,0.1947399157601785,0.0,0.1228637184035812,0.0,0.1052618414866865,0.1288685525969696,0.992124062423915,0.001312656262680976,0.001312656262680976,0.001312656262680976,0.001312656262680976,0.001312656262680976,0.001312656262680976
