StateAb,DivisionId,DivisionNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition(0 for TPP candidates),ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,152,Wentworth,36656,LDP,Liberal Democrats,LEWKOVITZ,Daniel,6,37010,ALP,Labor,MURRAY,Tim,1,299,22.210
NSW,152,Wentworth,36656,LDP,Liberal Democrats,LEWKOVITZ,Daniel,6,37051,LP,Liberal,SHARMA,Dave,7,1047,77.790
QLD,156,Brisbane,0,,,First Preferences,,0,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,29652,41.950
QLD,156,Brisbane,0,,,First Preferences,,0,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,41032,58.050
QLD,156,Brisbane,37204,AJP,Animal Justice Party,KENNEDY,Tiana,1,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,1441,67.490
QLD,156,Brisbane,37204,AJP,Animal Justice Party,KENNEDY,Tiana,1,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,694,32.510
QLD,156,Brisbane,35972,UAPP,United Australia Party,KNUDSON,Justin Marc,2,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,749,35.630
QLD,156,Brisbane,35972,UAPP,United Australia Party,KNUDSON,Justin Marc,2,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,1353,64.370
QLD,156,Brisbane,37338,GRN,Queensland Greens,BATES,Stephen,3,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,26206,88.410
QLD,156,Brisbane,37338,GRN,Queensland Greens,BATES,Stephen,3,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,3435,11.590
QLD,156,Brisbane,38213,ON,Pauline Hanson's One Nation,HOLD,Trevor,6,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,704,28.980
QLD,156,Brisbane,38213,ON,Pauline Hanson's One Nation,HOLD,Trevor,6,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,1725,71.020
QLD,156,Brisbane,37311,LDP,Liberal Democrats,BULL,Anthony,7,37230,ALP,Australian Labor Party,JARRETT,Madonna,4,431,23.850
QLD,156,Brisbane,37311,LDP,Liberal Democrats,BULL,Anthony,7,37482,LNP,Liberal National Party of Queensland,EVANS,Trevor,5,1376,76.150
QLD,163,Griffith,0,,,First Preferences,,0,37262,ALP,Australian Labor Party,BUTLER,Terri,3,30769,48.490
QLD,163,Griffith,0,,,First Preferences,,0,37465,LNP,Liberal National Party of Queensland,ROBERTS,Olivia,5,32685,51.510
QLD,163,Griffith,38217,ON,Pauline Hanson's One Nation,WARE,Shari,1,37262,ALP,Australian Labor Party,BUTLER,Terri,3,1111,31.710
QLD,163,Griffith,38217,ON,Pauline Hanson's One Nation,WARE,Shari,1,37465,LNP,Liberal National Party of Queensland,ROBERTS,Olivia,5,2393,68.290
QLD,163,Griffith,37364,GRN,Queensland Greens,CHANDLER-MATHER,Max,2,37262,ALP,Australian Labor Party,BUTLER,Terri,3,32114,87.340
QLD,163,Griffith,37364,GRN,Queensland Greens,CHANDLER-MATHER,Max,2,37465,LNP,Liberal National Party of Queensland,ROBERTS,Olivia,5,4657,12.660
QLD,163,Griffith,35982,UAPP,United Australia Party,McMULLAN,Robert Gordon,4,37262,ALP,Australian Labor Party,BUTLER,Terri,3,929,35.990
QLD,163,Griffith,35982,UAPP,United Australia Party,McMULLAN,Robert Gordon,4,37465,LNP,Liberal National Party of Queensland,ROBERTS,Olivia,5,1652,64.010
QLD,164,Groom,0,,,First Preferences,,0,37470,LNP,Liberal National Party of Queensland,HAMILTON,Garth,7,41971,70.000
QLD,164,Groom,0,,,First Preferences,,0,37236,ALP,Australian Labor Party,ALLPASS,Gen,8,17985,30.000
QLD,164,Groom,37777,CYA,Australian Federation Party,OTTO,Ryan,1,37470,LNP,Liberal National Party of Queensland,HAMILTON,Garth,7,1092,70.960
QLD,164,Groom,37777,CYA,Australian Federation Party,OTTO,Ryan,1,37236,ALP,Australian Labor Party,ALLPASS,Gen,8,447,29.040
QLD,164,Groom,38219,ON,Pauline Hanson's One Nation,ABRAHAM,Grant,2,37470,LNP,Liberal National Party of Queensland,HAMILTON,Garth,7,7003,76.280
QLD,164,Groom,38219,ON,Pauline Hanson's One Nation,ABRAHAM,Grant,2,37236,ALP,Australian Labor Party,ALLPASS,Gen,8,2178,23.720
QLD,164,Groom,37367,GRN,Queensland Greens,BERRY,Mickey,3,37470,LNP,Liberal National Party of Queensland,HAMILTON,Garth,7,1404,25.000
QLD,164,Groom,37367,GRN,Queensland Greens,BERRY,Mickey,3,37236,ALP,Australian Labor Party,ALLPASS,Gen,8,4212,75.000
QLD,164,Groom,35984,UAPP,United Australia Party,BANNISTER,Melissa,4,37470,LNP,Liberal National Party of Queensland,HAMILTON,Garth,7,3242,65.870
QLD,164,Groom,35984,UAPP,United Australia Party,BANNISTER,Melissa,4,37236,ALP,Australian Labor Party,ALLPASS,Gen,8,1680,34.130
QLD,164,Groom,37615,IND,Independent,SMOLENSKI,Kirstie,5,37470,LNP,Liberal National Party of Queensland,HAMILTON,Garth,7,3311,48.280
QLD,164,Groom,37615,IND,Independent,SMOLENSKI,Kirstie,5,37236,ALP,Australian Labor Party,ALLPASS,Gen,8,3547,51.720
QLD,164,Groom,36178,IND,Independent,HOLT,Suzie,6,37470,LNP,Liberal National Party of Queensland,HAMILTON,Garth,7,3587,45.220
QLD,164,Groom,36178,IND,Independent,HOLT,Suzie,6,37236,ALP,Australian Labor Party,ALLPASS,Gen,8,4345,54.780
QLD,167,Kennedy,0,,,First Preferences,,0,37474,LNP,Liberal National Party of Queensland,MACDONALD,Bryce,2,26387,63.710
QLD,167,Kennedy,0,,,First Preferences,,0,37249,ALP,Australian Labor Party,BRANDON,Jason,5,15033,36.290
QLD,167,Kennedy,37304,KAP,Katter's Australian Party (KAP),KATTER,Bob,1,37474,LNP,Liberal National Party of Queensland,MACDONALD,Bryce,2,24297,62.240
QLD,167,Kennedy,37304,KAP,Katter's Australian Party (KAP),KATTER,Bob,1,37249,ALP,Australian Labor Party,BRANDON,Jason,5,14739,37.760
QLD,167,Kennedy,36118,IND,Independent,SACKLEY,Jen,3,37474,LNP,Liberal National Party of Queensland,MACDONALD,Bryce,2,1532,51.390
QLD,167,Kennedy,36118,IND,Independent,SACKLEY,Jen,3,37249,ALP,Australian Labor Party,BRANDON,Jason,5,1449,48.610
QLD,167,Kennedy,37339,GRN,Queensland Greens,COX,Jennifer,4,37474,LNP,Liberal National Party of Queensland,MACDONALD,Bryce,2,1260,20.950
QLD,167,Kennedy,37339,GRN,Queensland Greens,COX,Jennifer,4,37249,ALP,Australian Labor Party,BRANDON,Jason,5,4753,79.050
QLD,167,Kennedy,35991,UAPP,United Australia Party,CAMPION,Peter,6,37474,LNP,Liberal National Party of Queensland,MACDONALD,Bryce,2,2836,68.270
QLD,167,Kennedy,35991,UAPP,United Australia Party,CAMPION,Peter,6,37249,ALP,Australian Labor Party,BRANDON,Jason,5,1318,31.730
QLD,177,Ryan,0,,,First Preferences,,0,37271,ALP,Australian Labor Party,COSSAR,Peter,7,22146,36.670
QLD,177,Ryan,0,,,First Preferences,,0,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,38239,63.330
QLD,177,Ryan,36016,UAPP,United Australia Party,POLLARD,Kathryn,1,37271,ALP,Australian Labor Party,COSSAR,Peter,7,746,36.180
QLD,177,Ryan,36016,UAPP,United Australia Party,POLLARD,Kathryn,1,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,1316,63.820
